Polytechnic,Year,School,Course_name,Course_code,Course_description,reference,elr2b2_type,elr2b2,planned_intake
SP,2019,School of Mechanical & Aeronautical Engineering,Diploma in Bioengineering,S58,"SP Diploma in Bioengineering encompasses mechanical engineering, biomedical engineering, life sciences and more.",https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/bioengineering,,,
SP,2019,Singapore Maritime Academy,Diploma in Marine Engineering,S63,"SP Diploma in Marine Engineering exposes students to the management of sophisticated power plants and service systems on land and sea, and more.",https://www.sp.edu.sg/sma/courses/full-time-diplomas/marine-engineering,,,
SP,2019,School of Chemical & Life Sciences,Diploma in Applied Chemistry,S64,"SP Diploma in Applied Chemistry covers the areas of applying chemistry in forensics, materials, environment and more.",https://www.sp.edu.sg/cls/courses/full-time-diplomas/applied-chemistry,,,
SP,2019,School of Architecture & the Built Environment,Diploma in Architecture,S66,"SP Diploma in Architecture covers architecture theory, materials, design methods, environmental management and sustainability, and more.",https://www.sp.edu.sg/abe/courses/full-time-diplomas/architecture,,,
SP,2019,School of Chemical & Life Sciences,Diploma in Optometry,S67,"SP Diploma in Optometry covers detection of eye diseases, management of binocular vision, the prescription of eyewear and more.",https://www.sp.edu.sg/cls/courses/full-time-diplomas/optometry,,,
SP,2019,School of Architecture & the Built Environment,Diploma in Civil Engineering with Business,S68,SP Diploma in Civil Engineering with Business incorporates civil engineering combined with business studies and more.,https://www.sp.edu.sg/abe/courses/full-time-diplomas/civil-engineering-with-business,,,
SP,2019,School of Digital Media & Infocomm Technology,Diploma in Information Technology,S69,"SP Diploma in Information Technology exposes students to information technology, infocomm, problem-solving, communication skills and more.",https://www.sp.edu.sg/soc/courses/full-time-diplomas/information-technology,,,
SP,2019,School of Chemical & Life Sciences,Diploma in Chemical Engineering,S70,SP Diploma in Chemical Engineering exposes students to chemical engineering principles in the production of chemical products and more.,https://www.sp.edu.sg/cls/courses/full-time-diplomas/chemical-engineering,,,
SP,2019,School Of Business,Diploma in Business Administration,S71,"SP Diploma in Business Administration covers human resource management, international business and trade, marketing and more.",https://www.sp.edu.sg/sb/courses/full-time-diplomas/business-administration,,,
SP,2019,School of Chemical & Life Sciences,Diploma in Biotechnology,S72,"SP Diploma in Biotechnology covers disciplines related to the life sciences such as microbial, plant and animal sciences, and more.",https://www.sp.edu.sg/cls/courses/full-time-diplomas/biotechnology,,,
SP,2019,School of Mechanical & Aeronautical Engineering,Diploma in Mechatronics & Robotics,S73,"SP Diploma in Mechatronics and Robotics covers design and development of robots, automation, micro-electromechanical devices and more.",https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/mechatronics-and-robotics,,,
SP,2019,Singapore Maritime Academy,Diploma in Maritime Business,S74,"SP Diploma in Maritime Business encompasses shore-based maritime management, logistics expertise and more.",https://www.sp.edu.sg/sma/courses/full-time-diplomas/maritime-business,,,
SP,2019,School Of Business,Diploma in Accountancy,S75,"SP Diploma in Accountancy covers accounting, auditing, costing, finance, taxation, banking, system analysis and more.",https://www.sp.edu.sg/sb/courses/full-time-diplomas/DAC,,,
SP,2019,School Of Business,Diploma in Banking & Finance,S76,"SP Diploma in Banking and Financial Services covers the areas of banking knowledge, financial services, fund management and more.",https://www.sp.edu.sg/sb/courses/full-time-diplomas/banking-finance,,,
SP,2019,"Media, Arts & Design School (MAD)",Diploma in Media & Communication,S86,"SP Diploma in Media and Communication covers TV production, journalism, public relations, graphic design, new media, business and more.",https://www.sp.edu.sg/mad/courses/full-time-diplomas/diploma-in-media-and-communication,,,
SP,2019,School of Mechanical & Aeronautical Engineering,Diploma in Aeronautical Engineering,S88,"SP Diploma in Aeronautical Engineering covers design, development and maintenance of aircraft, its modifications and more.",https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/aeronautical-engineering-,,,
SP,2019,School of Architecture & the Built Environment,Diploma in Interior Design,S89,"SP Diploma in Interior Design covers the principles of design and technology, development and presentation of design ideas, and more.",https://www.sp.edu.sg/abe/courses/full-time-diplomas/interior-design,,,
SP,2019,School of Electrical & Electronic Engineering,Diploma in Aerospace Electronics,S90,"SP Diploma in Aerospace Electronics covers aircraft electrical, instrument and radio systems, navigation principles and more.",https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/aerospace-electronics,,,
SP,2019,School of Mechanical & Aeronautical Engineering,Diploma in Mechanical Engineering,S91,"SP Diploma in Mechanical Engineering covers the areas of mechanical technology, precision engineering, resort facilities management and more.",https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/mechanical-engineering,,,
SP,2019,"Media, Arts & Design School (MAD)",Diploma in Experience & Communication Design,S93,"SP Diploma in Experience and Communication Design exposes you to the many facets of experience and communication design -- graphic design advertising, branding, digital photography, illustration, video production and interaction design.",https://www.sp.edu.sg/mad/courses/full-time-diplomas/experience-and-communication-design,,,
SP,2019,School of Architecture & the Built Environment,Diploma in Landscape Architecture,S94,"SP Diploma in Landscape Architecture covers landscape management, landscape design and technology, horticulture, environmental systems and more.",https://www.sp.edu.sg/abe/courses/full-time-diplomas/landscape-architecture,,,
SP,2019,School of Architecture & the Built Environment,Diploma in Facilities Management,S95,"SP Diploma in Hotel and Leisure Facilities Management covers tourism and leisure management, environmental sustainability and more.",https://www.sp.edu.sg/abe/courses/full-time-diplomas/hotel-leisure-facilities-management,,,
SP,2019,"Media, Arts & Design School (MAD)",Diploma in Music & Audio Technology,S97,"SP Diploma in Music and Audio Technology covers creation and production of music and audio, focusing on its integration and more.",https://www.sp.edu.sg/mad/courses/full-time-diplomas/music-audio-technology,,,
SP,2019,School of Chemical & Life Sciences,Diploma in Biomedical Science,S98,"SP Diploma in Biomedical Science covers the areas of biological science, cardiac technology, management and prevention of diseases and more.",https://www.sp.edu.sg/cls/courses/full-time-diplomas/biomedical-science,,,
SP,2019,School of Electrical & Electronic Engineering,Diploma in Electrical & Electronic Engineering,S99,"SP Diploma in Electrical and Electronic Engineering covers aerospace, biomedical, electronic engineering, nano technology and more.",https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/electrical-electronic-engineering,,,
